activity_id,disposition,rationale,evidence_locators
REVIEW-0106,FALSE_POSITIVE,Valid approved change record CHG-B16799C3D8 covering asset asset-011 and actor svc-035,discrepancy.json:CHG-B16799C3D8
REVIEW-0274,FALSE_POSITIVE,Valid approved change record CHG-98801237DA covering asset asset-035 and actor svc-023,discrepancy.json:CHG-98801237DA
REVIEW-0322,FALSE_POSITIVE,Valid approved change record CHG-A7E4B31216 covering asset asset-035 and actor svc-035,discrepancy.json:CHG-A7E4B31216
REVIEW-0351,FALSE_POSITIVE,Valid approved change record CHG-C20818C42E covering asset asset-016 and actor svc-028,discrepancy.json:CHG-C20818C42E
REVIEW-0029,FALSE_POSITIVE,Valid approved change record CHG-530A195A6C covering asset asset-030 and actor svc-030,discrepancy.json:CHG-530A195A6C
REVIEW-0171,FALSE_POSITIVE,Valid approved change record CHG-06BDA17611 covering asset asset-028 and actor svc-028,discrepancy.json:CHG-06BDA17611
REVIEW-0050,FALSE_POSITIVE,Valid approved change record CHG-4E8F777856 covering asset asset-003 and actor svc-015,discrepancy.json:CHG-4E8F777856
REVIEW-0039,FALSE_POSITIVE,Valid approved change record CHG-EB5D212A70 covering asset asset-040 and actor svc-004,discrepancy.json:CHG-EB5D212A70
REVIEW-0318,FALSE_POSITIVE,Valid approved change record CHG-7A9FD6947B covering asset asset-031 and actor svc-031,discrepancy.json:CHG-7A9FD6947B
REVIEW-0308,FALSE_POSITIVE,Valid approved change record CHG-9B8F85524C covering asset asset-021 and actor svc-021,discrepancy.json:CHG-9B8F85524C
REVIEW-0319,FALSE_POSITIVE,Valid approved change record CHG-F7B4F22E08 covering asset asset-032 and actor svc-032,discrepancy.json:CHG-F7B4F22E08
REVIEW-0265,FALSE_POSITIVE,Valid approved change record CHG-3343CCA81A covering asset asset-026 and actor svc-014,discrepancy.json:CHG-3343CCA81A
REVIEW-0054,FALSE_POSITIVE,Valid approved change record CHG-8F7B962551 covering asset asset-007 and actor svc-019,discrepancy.json:CHG-8F7B962551
REVIEW-0088,TRUE_POSITIVE,Change approval mismatch in CHG-2AA3EEC5D6: Unmapped asset 'asset-999',discrepancy.json:CHG-2AA3EEC5D6
REVIEW-0158,FALSE_POSITIVE,Valid approved change record CHG-756C6C665B covering asset asset-015 and actor svc-015,discrepancy.json:CHG-756C6C665B
REVIEW-0225,TRUE_POSITIVE,Change approval mismatch in CHG-C77B50CE24: Unapproved actor 'svc-unapproved',discrepancy.json:CHG-C77B50CE24
REVIEW-0047,FALSE_POSITIVE,Valid approved change record CHG-F7D15EC9E1 covering asset asset-048 and actor svc-012,discrepancy.json:CHG-F7D15EC9E1
REVIEW-0249,TRUE_POSITIVE,Change approval mismatch in CHG-5652CE73DC: Unapproved actor 'svc-unapproved',discrepancy.json:CHG-5652CE73DC
REVIEW-0325,FALSE_POSITIVE,Valid approved change record CHG-79C0450A57 covering asset asset-038 and actor svc-002,discrepancy.json:CHG-79C0450A57
REVIEW-0067,TRUE_POSITIVE,Change approval mismatch in CHG-182D5C0DB6: Status is PENDING,discrepancy.json:CHG-182D5C0DB6
REVIEW-0199,FALSE_POSITIVE,Valid approved change record CHG-14EC44477E covering asset asset-008 and actor svc-020,discrepancy.json:CHG-14EC44477E
REVIEW-0338,FALSE_POSITIVE,Valid approved change record CHG-C1E1FE52D4 covering asset asset-003 and actor svc-015,discrepancy.json:CHG-C1E1FE52D4
REVIEW-0042,TRUE_POSITIVE,Change approval mismatch in CHG-964621A3A5: Invalid approver 'requestor-only',discrepancy.json:CHG-964621A3A5
REVIEW-0361,FALSE_POSITIVE,Valid approved change record CHG-E600418B84 covering asset asset-026 and actor svc-002,discrepancy.json:CHG-E600418B84
REVIEW-0006,FALSE_POSITIVE,Valid approved change record CHG-CD155DC7BE covering asset asset-007 and actor svc-007,discrepancy.json:CHG-CD155DC7BE
REVIEW-0061,TRUE_POSITIVE,Change approval mismatch in CHG-CA17469EDA: Unapproved actor 'svc-unapproved',discrepancy.json:CHG-CA17469EDA
REVIEW-0329,FALSE_POSITIVE,Valid approved change record CHG-0696878B2E covering asset asset-042 and actor svc-006,discrepancy.json:CHG-0696878B2E
REVIEW-0283,TRUE_POSITIVE,Change approval mismatch in CHG-CB4E5C8F2B: Status is PENDING,discrepancy.json:CHG-CB4E5C8F2B
REVIEW-0178,TRUE_POSITIVE,Change approval mismatch in CHG-B44110C0C7: Invalid approver 'requestor-only',discrepancy.json:CHG-B44110C0C7
REVIEW-0135,FALSE_POSITIVE,Valid approved change record CHG-B07A4F07F0 covering asset asset-040 and actor svc-028,discrepancy.json:CHG-B07A4F07F0
REVIEW-0346,FALSE_POSITIVE,Valid approved change record CHG-BA80662F63 covering asset asset-011 and actor svc-023,discrepancy.json:CHG-BA80662F63
REVIEW-0025,FALSE_POSITIVE,Valid approved change record CHG-712CCE252A covering asset asset-026 and actor svc-026,discrepancy.json:CHG-712CCE252A
REVIEW-0011,FALSE_POSITIVE,Valid approved change record CHG-45D31210F5 covering asset asset-012 and actor svc-012,discrepancy.json:CHG-45D31210F5
REVIEW-0013,FALSE_POSITIVE,Valid approved change record CHG-63847E15FD covering asset asset-014 and actor svc-014,discrepancy.json:CHG-63847E15FD
REVIEW-0001,FALSE_POSITIVE,Valid approved change record CHG-0D0551F019 covering asset asset-002 and actor svc-002,discrepancy.json:CHG-0D0551F019
REVIEW-0104,FALSE_POSITIVE,Valid approved change record CHG-794AB537BE covering asset asset-009 and actor svc-033,discrepancy.json:CHG-794AB537BE
REVIEW-0028,FALSE_POSITIVE,Valid approved change record CHG-E8D828D86D covering asset asset-029 and actor svc-029,discrepancy.json:CHG-E8D828D86D
REVIEW-0241,FALSE_POSITIVE,Valid approved change record CHG-D2DAC04F77 covering asset asset-002 and actor svc-026,discrepancy.json:CHG-D2DAC04F77
